id,anoMes,contrato,noContrato,fechaOc,servicio,nombreCliente,titular,noPoliza,assistance,origen,importe,telefono,placa
1,202203,MAPFRE TEPEYAC AUTO ,47628543999,5/7/2021,COMBUSTIBLE ,MAZDA ,Galvin Miles,16881023 0063,NANCY,Saint Martin,6586,554-184-0736,Z9M 6O1
2,202107,GERNERAL MOTORS - ASISTENCIA ,22483387899,6/21/2021,URGENCIAS HOSPITAL ,MAPFRE SEGUROS ,Shea Douglas,16240114 6085,SUEMY,Mauritania,3626,555-188-1245,Z8M 4O5
3,202205,MAZDA ,21369613099,8/5/2021,AUXILIO VIAL ,MAPFRE SEGUROS ,Gregory Robertson,16740706 9827,CESAR,Isle of Man,7403,557-461-2487,Z6K 9J4
4,202112,MAZDA ,20628125799,8/2/2020,AUXILIO VIAL ,SEGUROS ATLAS ,Garrett Holt,16660618 9923,EDGAR,Slovenia,4976,559-692-1022,Z6K 3M9
5,202204,GERNERAL MOTORS - ASISTENCIA ,63372249099,6/15/2020,AUXILIO VIAL ,MAPFRE SEGUROS ,Eliana Wiggins,16620708 0547,MARISOL,Kenya,261,559-638-5368,Z6B 8M4
6,202201,MAPFRE ESPAÑA - CORRESPONSALIA ,92874762399,3/6/2022,GRUA ,MAPFRE SEGUROS ,Edward Caldwell,16750804 8936,SUEMY,Bahamas,4462,551-913-3933,Z5P 3S3
7,202110,GNP BANCA POR EXPUESTO ,98535046699,9/23/2021,COMBUSTIBLE ,MAZDA ,David Salas,16860425 4584,MARISOL,Estonia,4127,554-681-0750,Z5I 9B1
8,202204,GERNERAL MOTORS - ASISTENCIA ,24582887199,4/1/2021,PAGO DIRECTO ,MAZDA ,Kristen Finley,16710428 2491,EDGAR,Rwanda,1613,551-208-2996,Z4U 1W4
9,202106,GNP SINIESTROS REGULARES,17782660299,4/20/2022,CASETAS ,MAZDA ,Gary Moreno,16180920 4900,CESAR,Western Sahara,1087,550-715-5870,Z3X 9Y1
10,202106,GERNERAL MOTORS - ASISTENCIA ,96729883399,9/9/2020,COMBUSTIBLE ,MAZDA ,McKenzie Valenzuela,16111008 0734,MARISOL,Saint Kitts and Nevis,2132,556-803-4198,Z3T 6W3
11,202202,GNP DESBORDE ,86331507599,6/20/2021,GRUA ,GENERAL MOTORS ,Price Noel,16970102 7154,TANIA,Slovenia,2738,558-528-2095,Z3H 3W4
12,202109,MAPFRE SEGUROS REGULARES ,88292674199,11/23/2020,CASETAS ,SEGUROS ATLAS ,Holly Frank,16231221 2653,MARISOL,Algeria,3586,555-587-5237,Z2Y 5H0
13,202110,SEGUROS ATLAS AUTOS 15-20 AÑOS,71447534899,7/22/2020,GRUA ,SEGUROS ATLAS ,Rahim Hendricks,16420117 4614,EDGAR,Curaçao,8250,555-119-9734,Z2X 9H0
14,202203,GERNERAL MOTORS - ASISTENCIA ,91643649199,8/25/2021,GRUA ,MAZDA ,Rahim Hendricks,16560315 2389,EDGAR,Bulgaria,5592,556-389-9246,Z1Z 1S0
15,202108,MAPFRE HOSPITALIZACION FAMILIAR ,23206260699,6/9/2021,PAGO DIRECTO ,GONER,Rahim Hendricks,16630905 2931,TANIA,Viet Nam,5473,552-650-6916,Z1S 7Y7
16,202204,SEGUROS ATLAS AUTOS 15-20 AÑOS,43322471999,2/2/2021,AUXILIO VIAL ,MAPFRE SEGUROS ,Daphne Hammond,16911208 3697,EDGAR,Peru,6284,551-130-3811,Z1L 7E8
